Aarnet,13,19
Abilene,11,11
Agis,20,25
Ans,16,18
Arnes,2,34
Arpanet196912,3,4
Arpanet19706,4,9
Arpanet19719,7,18
Arpanet19723,13,25
Arpanet19728,15,29
Atmnet,19,21
AttMpls,23,25
Bbnplanet,20,27
Bellcanada,38,48
Belnet2007,3,21
Belnet2008,4,21
Belnet2009,4,21
Bics,28,33
Claranet,14,15
CrlNetworkServices,23,33
Darkstrand,28,28
Dataxchange,5,6
Digex,25,31
EliBackbone,17,20
Epoch,6,6
Fccn,12,23
Garr199901,9,16
Gblnet,8,8
Geant2001,27,27
Geant2009,34,34
Geant2010,35,37
Getnet,6,7
Globalcenter,9,9
Goodnet,17,17
Gridnet,8,9
Heanet,3,7
Highwinds,18,18
HostwayInternational,15,16
HurricaneElectric,19,24
Ibm,17,18
Integra,22,27
Internetmci,16,19
Iris,9,51
Itnet,8,11
KentmanJul2005,1,16
Kreonet,8,13
Layer42,6,6
Mren,1,6
Napnet,6,6
Navigata,11,13
Netrail,7,7
NetworkUsa,12,35
Noel,8,19
Nsfnet,13,13
Oxford,3,20
Packetexchange,21,21
Palmetto,10,45
Peer1,16,16
Psinet,18,24
Quest,16,20
Rediris,15,19
Renater1999,18,24
Renater2001,18,24
Sago,6,18
Sanren,6,7
Savvis,18,19
Spiralight,4,15
Sprint,10,11
Surfnet,6,50
Telecomserbia,3,6
Uninett2010,19,74
Xeex,23,24
Xspedius,29,34
York,6,23
